,关键词,提及次数,颜色分类,唐代提及次数,宋代提及次数,颜色,诗句
1,碧潭,178,绿,61,117,#66ff66,“鱼下碧潭当镜跃，鸟还青嶂拂屏飞”
2,碧空,193,绿,65,128,#66ff66,“孤帆远影碧空尽，唯见长江天际流”
3,青嶂,166,绿,37,129,#66ff66,"“拔地万里青嶂立, 悬空千丈素流分”"
4,翠色,173,绿,44,129,#66ff66,“万木寒威解，千峰翠色浮”
5,踏青,169,绿,35,134,#66ff66,“南园春半踏青时，风和闻马嘶”
6,暗中,182,黑,45,137,#66ff66,“暗中须透金针穴，转处还藏玉线头”
7,碧草,205,绿,65,140,#66ff66,“碧草旋荒金谷路，乌丝重记兰亭”
8,碧海,240,绿,82,158,#66ff66,“碧海无波，瑶台有路”
9,丹桂,228,红,67,161,#66ff66,“玉斧折丹桂，锦绣拂银河”
10,白露,275,白,110,165,#66ff66,“凭阑久，金波渐转，白露点苍苔”
11,白骨,243,白,73,170,#66ff66,“君不见青海头，古来白骨无人收”
12,青史,242,绿,65,177,#66ff66,“成败归青史，悲驩付浩歌”
13,青苔,324,绿,145,179,#66ff66,“返景入深林，复照青苔上”
14,丹霞,234,红,50,184,#66ff66,“四壁含清风，丹霞射其牖”
15,朱轮,233,红,45,188,#66ff66,“宫娥从驾知多少，十里朱轮半日香”
16,白浪,250,白,61,189,#66ff66,“白浪茫茫与海连，平沙浩浩四无边”
17,青草,329,绿,128,201,#66ff66,“青草湖中万里程，黄梅雨里一人行”
18,赤城,333,红,94,239,#66ff66,“天姥连天向天横，势拔五岳掩赤城”
19,白水,340,白,79,261,#66ff66,“青秧白水无际，中有一犁耕”
20,白鸟,328,白,61,267,#66ff66,“风急天高猿啸哀，渚清沙白鸟飞回”
21,金丹,326,红,57,269,#66ff66,“隔瓶见舍利，圆转如金丹”
22,丹心,314,红,44,270,#66ff66,“人生自古谁无死，留取丹心照汗青”
23,李白,393,白,107,286,#66ff66,“李白乘舟将欲行，忽闻岸上踏歌声”
24,朱门,432,红,135,297,#66ff66,“朱门乞巧沸欢声，田舍黄昏静掩扃”
25,白衣,385,白,85,300,#66ff66,“才子词人，自是白衣卿相”
26,赤松,360,红,44,316,#66ff66,“相公倦台鼎，要伴赤松游”
27,白鸥,358,白,36,322,#66ff66,“东飞身与白鸥轻”
28,金碧,381,绿,44,337,#66ff66,“画阑桂树攒金碧”
29,碧落,473,绿,130,343,#66ff66,“碧落秋风吹玉树”
30,青眼,394,绿,38,356,#66ff66,“识人青眼，慨然怜我疏拙”
31,青冥,504,绿,118,386,#66ff66,“风露青冥非人世，揽结玉龙骖鹤”
32,丹砂,553,红,130,423,#66ff66,“或红如丹砂，或黑如点漆”
33,白石,580,白,145,435,#66ff66,“涧底束荆薪，归来煮白石”
34,青松,612,绿,157,455,#66ff66,“日出雾露馀，青松如膏沐”
35,牡丹,589,红,128,461,#66ff66,“凤凰相对盘金缕，牡丹一夜经微雨”
36,太白,589,白,117,472,#66ff66,“西当太白有鸟道，可以横绝峨眉巅”
37,翡翠,880,绿,394,486,#66ff66,“鸳鸯瓦冷霜华重，翡翠衾寒谁与共”
38,碧玉,619,绿,103,516,#66ff66,“碧玉妆成一树高，万条垂下绿丝绦”
39,白雪,848,白,212,636,#66ff66,“白雪清词出坐间，爱君才器两俱全”
40,翰墨,732,黑,50,682,#66ff66,“翰墨诸君久擅场。胸中书传许多香”
41,翠微,953,绿,232,721,#66ff66,“与客携壶上翠微。江涵秋影雁初飞”
42,青春,977,绿,219,758,#66ff66,“白日放歌须纵酒，青春作伴好还乡”
43,白玉,1053,白,194,859,#66ff66,“骝马新跨白玉鞍，战罢沙场月色寒”
44,青天,1084,绿,211,873,#66ff66,“两个黄鹂鸣翠柳，一行白鹭上青天”
46,白首,2621,白,517,2104,#66ff66,“白首送春拚一醉，东风吹破千行泪”
47,白日,2034,白,694,1340,#66ff66,“白日依山尽，黄河入海流”
48,冥冥,1880,黑,318,1562,#66ff66,“逗晓莺啼声昵昵，掩关高树冥冥”
49,青青,2394,绿,528,1866,#66ff66,“云青青兮欲雨，水澹澹兮生烟”
50,丹青,2404,绿,340,2064,#66ff66,“人道偏宜歌舞，天教只入丹青”
51,青山,3576,绿,725,2851,#ff0000,“青山隐隐水迢迢，秋尽江南草未凋”